"","name","state","state_code","type","degree_length","room_and_board","in_state_tuition","in_state_total","out_of_state_tuition","out_of_state_total"
"1","Aaniiih Nakoda College","Montana","MT","Public","2 Year",NA,2380,2380,2380,2380
"2","Abilene Christian University","Texas","TX","Private","4 Year",10350,34850,45200,34850,45200
"3","Abraham Baldwin Agricultural College","Georgia","GA","Public","2 Year",8474,4128,12602,12550,21024
"4","Academy College","Minnesota","MN","For Profit","2 Year",NA,17661,17661,17661,17661
"5","Academy of Art University","California","CA","For Profit","4 Year",16648,27810,44458,27810,44458
"6","Adams State University","Colorado","CO","Public","4 Year",8782,9440,18222,20456,29238
"7","Adelphi University","New York","NY","Private","4 Year",16030,38660,54690,38660,54690
"8","Adirondack Community College","New York","NY","Public","2 Year",11660,5375,17035,9935,21595
"9","Adrian College","Michigan","MI","Private","4 Year",11318,37087,48405,37087,48405
"10","Advanced Technology Institute","Virginia","VA","For Profit","2 Year",NA,13680,13680,13680,13680
"11","Adventist University of Health Sciences","Florida","FL","Private","4 Year",4200,15150,19350,15150,19350
"12","Agnes Scott College","Georgia","GA","Private","4 Year",12330,41160,53490,41160,53490
"13","Aiken Technical College","South Carolina","SC","Public","2 Year",NA,5160,5160,8010,8010
"14","Aims Community College","Colorado","CO","Public","2 Year",NA,2281,2281,13018,13018
"15","Alabama Agricultural and Mechanical University","Alabama","AL","Public","4 Year",8379,9698,18077,17918,26297
"16","Alabama Southern Community College","Alabama","AL","Public","2 Year",NA,4440,4440,8880,8880
"17","Alabama State University","Alabama","AL","Public","4 Year",5422,11068,16490,19396,24818
"18","Alamance Community College","North Carolina","NC","Public","2 Year",NA,2310,2310,8070,8070
"19","Alaska Bible College","Alaska","AK","Private","4 Year",5700,9300,15000,9300,15000
"20","Alaska Pacific University","Alaska","AK","Private","4 Year",7300,20830,28130,20830,28130
"21","Albany College of Pharmacy and Health Sciences","New York","NY","Private","4 Year",10920,35105,46025,35105,46025
"22","Albany State University","Georgia","GA","Public","4 Year",8878,6726,15604,19802,28680
"23","Albany Technical College","Georgia","GA","Public","2 Year",NA,3246,3246,5916,5916
"24","Albertus Magnus College","Connecticut","CT","Private","4 Year",13200,32060,45260,32060,45260
"25","Albion College","Michigan","MI","Private","4 Year",12380,45775,58155,45775,58155
"26","Albright College","Pennsylvania","PA","Private","4 Year",12070,45306,57376,45306,57376
"27","Alcorn State University","Mississippi","MS","Public","4 Year",9608,7144,16752,7144,16752
"28","Alderson-Broaddus University","West Virginia","WV","Private","4 Year",8860,27910,36770,27910,36770
"29","Alexandria Technical and Community College","Minnesota","MN","Public","2 Year",NA,5416,5416,5416,5416
"30","Alfred University","New York","NY","Private","4 Year",12516,33484,46000,33484,46000
"31","Allan Hancock College","California","CA","Public","2 Year",NA,1418,1418,7898,7898
"32","Allegany College of Maryland","Maryland","MD","Public","2 Year",NA,4140,4140,9210,9210
"33","Allegheny College","Pennsylvania","PA","Private","4 Year",12140,47540,59680,47540,59680
"34","Allegheny Wesleyan College","Ohio","OH","Private","4 Year",4000,6400,10400,6400,10400
"35","Allen College","Iowa","IA","Private","4 Year",7282,19970,27252,19970,27252
"36","Allen County Community College","Kansas","KS","Public","2 Year",5070,3150,8220,3150,8220
"37","Allen University","South Carolina","SC","Private","4 Year",7230,13340,20570,13340,20570
"38","Alliant International University","California","CA","Private","4 Year",NA,18000,18000,18000,18000
"39","Alma College","Michigan","MI","Private","4 Year",10998,40258,51256,40258,51256
"40","Alpena Community College","Michigan","MI","Public","2 Year",NA,4530,4530,6840,6840
"41","Alvernia University","Pennsylvania","PA","Private","4 Year",NA,34885,34885,34885,34885
"42","Alverno College","Wisconsin","WI","Private","4 Year",8546,28302,36848,28302,36848
"43","Alvin Community College","Texas","TX","Public","2 Year",NA,1998,1998,4818,4818
"44","Amarillo College","Texas","TX","Public","2 Year",NA,2670,2670,5880,5880
"45","Amberton University","Texas","TX","Private","4 Year",NA,12840,12840,12840,12840
"46","American Academy McAllister Institute of Funeral Service","New York","NY","Private","2 Year",NA,17160,17160,17160,17160
"47","American Academy of Art","Illinois","IL","Private","4 Year",NA,34100,34100,34100,34100
"48","American Academy of Dramatic Arts","New York","NY","Private","2 Year",17955,35160,53115,35160,53115
"49","American Academy of Dramatic Arts: West","California","CA","Private","2 Year",13255,35160,48415,35160,48415
"50","American Baptist College","Tennessee","TN","Private","4 Year",8640,10950,19590,10950,19590
"51","American Indian College of the Assemblies of God","Arizona","AZ","Private","4 Year",6250,958,7208,958,7208
"52","American International College","Massachusetts","MA","Private","4 Year",14300,35680,49980,35680,49980
"53","American Jewish University","California","CA","Private","4 Year",17362,31826,49188,31826,49188
"54","American National University: Charlottesville","Virginia","VA","For Profit","2 Year",NA,18735,18735,18735,18735
"55","American National University: Danville","Virginia","VA","For Profit","2 Year",NA,18735,18735,18735,18735
"56","American National University: Harrisonburg","Virginia","VA","For Profit","2 Year",NA,18735,18735,18735,18735
"57","American National University: Lynchburg","Virginia","VA","For Profit","2 Year",NA,18735,18735,18735,18735
"58","American National University: Martinsville","Virginia","VA","For Profit","2 Year",NA,18735,18735,18735,18735
"59","American National University: Salem","Virginia","VA","For Profit","4 Year",NA,18735,18735,18735,18735
"60","American  University SystemFor-profit","West Virginia","WV","Public","4 Year",NA,8150,8150,8150,8150
"61","American River College","California","CA","Public","2 Year",NA,1416,1416,9546,9546
"62","American Samoa Community College",NA,"AS","Public","2 Year",NA,3700,3700,3700,3700
"63","American University",NA,"DC","Private","4 Year",14880,48459,63339,48459,63339
"64","American University of Puerto Rico",NA,"PR","Private","4 Year",NA,6946,6946,6946,6946
"65","Amherst College","Massachusetts","MA","Private","4 Year",14740,56426,71166,56426,71166
"66","Amridge University","Alabama","AL","Private","4 Year",NA,6900,6900,6900,6900
"67","Ancilla College","Indiana","IN","Private","2 Year",9600,17330,26930,17330,26930
"68","Anderson University","South Carolina","SC","Private","4 Year",9830,28000,37830,28000,37830
"69","Anderson University","Indiana","IN","Private","4 Year",9890,30450,40340,30450,40340
"70","Andrew College","Georgia","GA","Private","2 Year",10636,17388,28024,17388,28024
"71","Andrews University","Michigan","MI","Private","4 Year",9078,29288,38366,29288,38366
"72","Angelina College","Texas","TX","Public","2 Year",5500,2625,8125,5535,11035
"73","Angelo State University","Texas","TX","Public","4 Year",9130,8489,17619,20939,30069
"74","Anna Maria College","Massachusetts","MA","Private","4 Year",14630,37860,52490,37860,52490
"75","Anne Arundel Community College","Maryland","MD","Public","2 Year",NA,4110,4110,12180,12180
"76","Anoka Technical College","Minnesota","MN","Public","2 Year",NA,5584,5584,5584,5584
"77","Anoka-Ramsey Community College","Minnesota","MN","Public","2 Year",NA,5073,5073,5073,5073
"78","Antelope Valley College","California","CA","Public","2 Year",NA,1420,1420,9760,9760
"79","Antioch College","Ohio","OH","Private","4 Year",7640,35718,43358,35718,43358
"80","Antioch University Los Angeles","California","CA","Private","4 Year",NA,20670,20670,20670,20670
"81","Antioch University Midwest","Ohio","OH","Private","4 Year",NA,16210,16210,16210,16210
"82","Antioch University Santa Barbara","California","CA","Private","4 Year",NA,22575,22575,22575,22575
"83","Antioch University Seattle","Washington","WA","Private","4 Year",NA,27435,27435,27435,27435
"84","Apex School of Theology","North Carolina","NC","Private","4 Year",NA,6200,6200,6200,6200
"85","Appalachian Bible College","West Virginia","WV","Private","4 Year",7960,14720,22680,14720,22680
"86","Appalachian State University","North Carolina","NC","Public","4 Year",8304,7214,15518,22021,30325
"87","Aquinas College","Michigan","MI","Private","4 Year",9332,32574,41906,32574,41906
"88","Aquinas College","Tennessee","TN","Private","4 Year",NA,23600,23600,23600,23600
"89","Arapahoe Community College","Colorado","CO","Public","2 Year",NA,4811,4811,18671,18671
"90","Arcadia University","Pennsylvania","PA","Private","4 Year",13800,43580,57380,43580,57380
"91","Arizona Christian University","Arizona","AZ","Private","4 Year",10674,26796,37470,26796,37470
"92","Arizona State University","Arizona","AZ","Public","4 Year",12648,10822,23470,28336,40984
"93","Arizona Western College","Arizona","AZ","Public","2 Year",6700,2520,9220,9510,16210
"94","Arkansas Baptist College","Arkansas","AR","Private","4 Year",8826,8760,17586,8760,17586
"95","Arkansas Northeastern College","Arkansas","AR","Public","2 Year",NA,2450,2450,4250,4250
"96","Arkansas State University","Arkansas","AR","Public","4 Year",8160,8608,16768,15298,23458
"97","Arkansas State University Mid-South","Arkansas","AR","Public","2 Year",NA,3274,3274,5014,5014
"98","Arkansas State University: Beebe","Arkansas","AR","Public","2 Year",5280,3600,8880,5760,11040
"99","Arkansas State University: Mountain Home","Arkansas","AR","Public","2 Year",NA,3570,3570,5580,5580
"100","Arkansas State University: Newport","Arkansas","AR","Public","2 Year",NA,3480,3480,5310,5310
"101","Arkansas Tech University","Arkansas","AR","Public","4 Year",7870,9068,16938,15848,23718
"102","Arlington Baptist University","Texas","TX","Private","4 Year",6500,13190,19690,13190,19690
"103","Armstrong State University","Georgia","GA","Public","4 Year",11385,6384,17769,19866,31251
"104","Art Academy of Cincinnati","Ohio","OH","Private","4 Year",6700,33889,40589,33889,40589
"105","Art Center College of Design","California","CA","Private","4 Year",NA,43416,43416,43416,43416
"106","Art Institute of Houston","Texas","TX","For Profit","4 Year",9600,24024,33624,24024,33624
"107","Art Institute of Philadelphia","Pennsylvania","PA","For Profit","4 Year",NA,14850,14850,14850,14850
"108","Art Institute of Phoenix","Arizona","AZ","For Profit","4 Year",10928,21645,32573,21645,32573
"109","Art Institute of Pittsburgh","Pennsylvania","PA","For Profit","4 Year",2758,23376,26134,23376,26134
"110","ASA College","New York","NY","For Profit","2 Year",9500,14065,23565,14065,23565
"111","Asbury University","Kentucky","KY","Private","4 Year",7160,30198,37358,30198,37358
"112","Asheville-Buncombe Technical Community College","North Carolina","NC","Public","2 Year",NA,2354,2354,8114,8114
"113","Ashford University","California","CA","For Profit","4 Year",NA,12160,12160,12160,12160
"114","Ashland Community and Technical College","Kentucky","KY","Public","2 Year",NA,5310,5310,18000,18000
"115","Ashland University","Ohio","OH","Private","4 Year",9941,21342,31283,21342,31283
"116","Ashworth College","Georgia","GA","For Profit","2 Year",NA,1399,1399,1399,1399
"117","Asnuntuck Community College","Connecticut","CT","Public","2 Year",NA,4404,4404,13170,13170
"118","Assumption College","Massachusetts","MA","Private","4 Year",12694,40958,53652,40958,53652
"119","Assumption College for Sisters","New Jersey","NJ","Private","2 Year",NA,5888,5888,5888,5888
"120","Athens State University","Alabama","AL","Public","4 Year",NA,6810,6810,12870,12870
"121","Athens Technical College","Georgia","GA","Public","2 Year",NA,3292,3292,5962,5962
"122","Atlanta Metropolitan State College","Georgia","GA","Public","2 Year",NA,4008,4008,12088,12088
"123","Atlanta Technical College","Georgia","GA","Public","2 Year",NA,3350,3350,6020,6020
"124","Atlantic Cape Community College","New Jersey","NJ","Public","2 Year",NA,5096,5096,8096,8096
"125","Atlantic University College",NA,"PR","Private","4 Year",NA,4525,4525,4525,4525
"126","Auburn University","Alabama","AL","Public","4 Year",13332,11276,24608,30524,43856
"127","Auburn University at Montgomery","Alabama","AL","Public","4 Year",6980,10288,17268,22048,29028
"128","Augsburg University","Minnesota","MN","Private","4 Year",10280,38800,49080,38800,49080
"129","Augusta Technical College","Georgia","GA","Public","2 Year",NA,3494,3494,6164,6164
"130","Augusta University","Georgia","GA","Public","4 Year",9640,10758,20398,29796,39436
"131","Augustana College","Illinois","IL","Private","4 Year",10572,42135,52707,42135,52707
"132","Augustana University","South Dakota","SD","Private","4 Year",8248,33018,41266,33018,41266
"133","Aultman College of Nursing and Health Sciences","Ohio","OH","Private","2 Year",NA,18510,18510,18510,18510
"134","Aurora University","Illinois","IL","Private","4 Year",11700,24260,35960,24260,35960
"135","Austin College","Texas","TX","Private","4 Year",12527,39985,52512,39985,52512
"136","Austin Community College","Texas","TX","Public","2 Year",NA,2550,2550,13020,13020
"137","Austin Graduate School of Theology","Texas","TX","Private","4 Year",NA,11900,11900,11900,11900
"138","Austin Peay State University","Tennessee","TN","Public","4 Year",10700,8411,19111,24467,35167
"139","Ave Maria University","Florida","FL","Private","4 Year",11436,20850,32286,20850,32286
"140","Averett University","Virginia","VA","Private","4 Year",9976,34400,44376,34400,44376
"141","Avila University","Missouri","MO","Private","4 Year",7200,19900,27100,19900,27100
"142","Azusa Pacific University","California","CA","Private","4 Year",10076,38880,48956,38880,48956
"143","Babson College","Massachusetts","MA","Private","4 Year",16312,51104,67416,51104,67416
"144","Baker University","Kansas","KS","Private","4 Year",8410,29830,38240,29830,38240
"145","Bakersfield College","California","CA","Public","2 Year",NA,1418,1418,7838,7838
"146","Baldwin Wallace University","Ohio","OH","Private","4 Year",9554,32586,42140,32586,42140
"147","Ball State University","Indiana","IN","Public","4 Year",10234,9896,20130,26468,36702
"148","Baltimore City Community College","Maryland","MD","Public","2 Year",NA,2893,2893,6973,6973
"149","Baptist Bible College","Missouri","MO","Private","4 Year",7500,14150,21650,14150,21650
"150","Baptist College of Florida","Florida","FL","Private","4 Year",4612,12300,16912,12300,16912
"151","Baptist College of Health Sciences","Tennessee","TN","Private","4 Year",2900,14700,17600,14700,17600
"152","Baptist Missionary Association Theological Seminary","Texas","TX","Private","4 Year",3150,6690,9840,6690,9840
"153","Baptist University of the Americas","Texas","TX","Private","4 Year",2500,7800,10300,7800,10300
"154","Barclay College","Kansas","KS","Private","4 Year",9300,19690,28990,19690,28990
"155","Bard College","New York","NY","Private","4 Year",15488,54680,70168,54680,70168
"156","Bard College at Simon's Rock","Massachusetts","MA","Private","4 Year",14916,55732,70648,55732,70648
"157","Barnard College","New York","NY","Private","4 Year",17225,55032,72257,55032,72257
"158","Barry University","Florida","FL","Private","4 Year",11100,29850,40950,29850,40950
"159","Barstow Community College","California","CA","Public","2 Year",NA,1391,1391,9131,9131
"160","Barton College","North Carolina","NC","Private","4 Year",10120,30880,41000,30880,41000
"161","Barton County Community College","Kansas","KS","Public","2 Year",5794,3440,9234,3440,9234
"162","Bastyr University","Washington","WA","Private","4 Year",7590,26166,33756,26166,33756
"163","Bates College","Maine","ME","Private","4 Year",15224,53794,69018,53794,69018
"164","Bates Technical College","Washington","WA","Public","2 Year",NA,4783,4783,10214,10214
"165","Baton Rouge Community College","Louisiana","LA","Public","2 Year",NA,3981,3981,8059,8059
"166","Bay College","Michigan","MI","Public","2 Year",3200,4830,8030,8910,12110
"167","Bay Mills Community College","Michigan","MI","Public","2 Year",NA,3250,3250,3250,3250
"168","Bay Path University","Massachusetts","MA","Private","4 Year",12799,34225,47024,34225,47024
"169","Bay State College","Massachusetts","MA","For Profit","2 Year",13300,27750,41050,27750,41050
"170","Bayamon Central University",NA,"PR","Private","4 Year",NA,5775,5775,5775,5775
"171","Baylor University","Texas","TX","Private","4 Year",12595,45727,58322,45727,58322
"172","Beacon College","Florida","FL","Private","4 Year",11390,39016,50406,39016,50406
"173","Beaufort County Community College","North Carolina","NC","Public","2 Year",NA,2344,2344,8104,8104
"174","Becker College","Massachusetts","MA","Private","4 Year",13800,39200,53000,39200,53000
"175","Beckfield College","Kentucky","KY","For Profit","4 Year",NA,4000,4000,4000,4000
"176","Beis Medrash Heichal Dovid","New York","NY","Private","4 Year",4500,9500,14000,9500,14000
"177","Belhaven University","Mississippi","MS","Private","4 Year",8500,25300,33800,25300,33800
"178","Bellarmine University","Kentucky","KY","Private","4 Year",12250,42200,54450,42200,54450
"179","Bellevue College","Washington","WA","Public","2 Year",NA,4258,4258,9689,9689
"180","Bellevue University","Nebraska","NE","Private","4 Year",8730,9390,18120,9390,18120
"181","Bellin College","Wisconsin","WI","Private","4 Year",NA,22178,22178,22178,22178
"182","Bellingham Technical College","Washington","WA","Public","2 Year",NA,2790,2790,3460,3460
"183","Belmont Abbey College","North Carolina","NC","Private","4 Year",10355,18500,28855,18500,28855
"184","Belmont College","Ohio","OH","Public","2 Year",NA,4973,4973,8070,8070
"185","Belmont University","Tennessee","TN","Private","4 Year",12120,34310,46430,34310,46430
"186","Beloit College","Wisconsin","WI","Private","4 Year",8830,50040,58870,50040,58870
"187","Bemidji State University","Minnesota","MN","Public","4 Year",8408,8696,17104,8696,17104
"188","Benedict College","South Carolina","SC","Private","4 Year",6200,16600,22800,16600,22800
"189","Benedictine College","Kansas","KS","Private","4 Year",10300,29530,39830,29530,39830
"190","Benedictine University","Illinois","IL","Private","4 Year",9480,34290,43770,34290,43770
"191","Benjamin Franklin Institute of Technology","Massachusetts","MA","Private","2 Year",12400,18690,31090,18690,31090
"192","Bennett College for Women","North Carolina","NC","Private","4 Year",8114,18513,26627,18513,26627
"193","Bennington College","Vermont","VT","Private","4 Year",15610,54360,69970,54360,69970
"194","Bentley University","Massachusetts","MA","Private","4 Year",16320,49880,66200,49880,66200
"195","Berea College","Kentucky","KY","Private","4 Year",6764,39990,46754,39990,46754
"196","Bergen Community College","New Jersey","NJ","Public","2 Year",NA,5610,5610,10650,10650
"197","Bergin University of Canine Studies","California","CA","Private","4 Year",NA,9450,9450,9450,9450
"198","Berkeley City College","California","CA","Public","2 Year",NA,1432,1432,9622,9622
"199","Berklee College of Music","Massachusetts","MA","Private","4 Year",18180,42750,60930,42750,60930
"200","Berkshire Community College","Massachusetts","MA","Public","2 Year",NA,8569,8569,15589,15589
"201","Berry College","Georgia","GA","Private","4 Year",12770,36556,49326,36556,49326
"202","Beth Hatalmud Rabbinical College","New York","NY","Private","4 Year",NA,11750,11750,11750,11750
"203","Beth Medrash Govoha","New Jersey","NJ","Private","4 Year",4172,21388,25560,21388,25560
"204","Bethany College","Kansas","KS","Private","4 Year",10605,28475,39080,28475,39080
"205","Bethany College","West Virginia","WV","Private","4 Year",10580,29773,40353,29773,40353
"206","Bethany Lutheran College","Minnesota","MN","Private","4 Year",8100,27650,35750,27650,35750
"207","Bethel College","Indiana","IN","Private","4 Year",9000,28590,37590,28590,37590
"208","Bethel College","Kansas","KS","Private","4 Year",8850,28780,37630,28780,37630
"209","Bethel University","Tennessee","TN","Private","4 Year",9198,16552,25750,16552,25750
"210","Bethel University","Minnesota","MN","Private","4 Year",10520,37300,47820,37300,47820
"211","Bethesda University of California","California","CA","Private","4 Year",NA,8350,8350,8350,8350
"212","Bethune-Cookman University","Florida","FL","Private","4 Year",9412,14814,24226,14814,24226
"213","Beulah Heights University","Georgia","GA","Private","4 Year",6000,9880,15880,9880,15880
"214","Beverly Hills Design Institute","California","CA","Private","4 Year",NA,31060,31060,31060,31060
"215","Bevill State Community College","Alabama","AL","Public","2 Year",1300,4770,6070,8640,9940
"216","Big Bend Community College","Washington","WA","Public","2 Year",3537,4272,7809,9703,13240
"217","Big Sandy Community and Technical College","Kentucky","KY","Public","2 Year",NA,5310,5310,18000,18000
"218","Biola University","California","CA","Private","4 Year",10730,40488,51218,40488,51218
"219","Birmingham-Southern College","Alabama","AL","Private","4 Year",12350,17650,30000,17650,30000
"220","Bishop State Community College","Alabama","AL","Public","2 Year",NA,4740,4740,8610,8610
"221","Bismarck State College","North Dakota","ND","Public","2 Year",7794,4790,12584,6785,14579
"222","Black Hawk College","Illinois","IL","Public","2 Year",NA,4470,4470,7650,7650
"223","Black Hills State University","South Dakota","SD","Public","4 Year",6978,8733,15711,11778,18756
"224","Black River Technical College","Arkansas","AR","Public","2 Year",NA,3660,3660,6510,6510
"225","Blackburn College","Illinois","IL","Private","4 Year",7930,22410,30340,22410,30340
"226","Blackfeet Community College","Montana","MT","Public","2 Year",6787,3590,10377,3590,10377
"227","Blackhawk Technical College","Wisconsin","WI","Public","2 Year",NA,4340,4340,6623,6623
"228","Bladen Community College","North Carolina","NC","Public","2 Year",NA,2528,2528,8672,8672
"229","Blessing-Rieman College of Nursing & Health Sciences","Illinois","IL","Private","4 Year",NA,25250,25250,25250,25250
"230","Blinn College","Texas","TX","Public","2 Year",8103,3540,11643,10050,18153
"231","Bloomfield College","New Jersey","NJ","Private","4 Year",11950,29550,41500,29550,41500
"232","Bloomsburg University of Pennsylvania","Pennsylvania","PA","Public","4 Year",9686,10958,20644,22532,32218
"233","Blue Mountain College","Mississippi","MS","Private","4 Year",6294,12584,18878,12584,18878
"234","Blue Mountain Community College","Oregon","OR","Public","2 Year",NA,6188,6188,15908,15908
"235","Blue Ridge Community and Technical College","West Virginia","WV","Public","2 Year",NA,4128,4128,7464,7464
"236","Blue Ridge Community College","North Carolina","NC","Public","2 Year",NA,2365,2365,8125,8125
"237","Blue Ridge Community College","Virginia","VA","Public","2 Year",NA,5364,5364,11292,11292
"238","Bluefield College","Virginia","VA","Private","4 Year",9024,25290,34314,25290,34314
"239","Bluefield State College","West Virginia","WV","Public","4 Year",NA,8820,8820,16920,16920
"240","Bluegrass Community and Technical College","Kentucky","KY","Public","2 Year",NA,5310,5310,18000,18000
"241","Bluffton University","Ohio","OH","Private","4 Year",10800,32766,43566,32766,43566
"242","Bob Jones University","South Carolina","SC","Private","4 Year",6976,18150,25126,18150,25126
"243","Boise Bible College","Idaho","ID","Private","4 Year",6200,12520,18720,12520,18720
"244","Boise State University","Idaho","ID","Public","4 Year",10692,7694,18386,23776,34468
"245","Bolivar Technical College","Missouri","MO","Private","2 Year",NA,18292,18292,18292,18292
"246","Boricua College","New York","NY","Private","4 Year",NA,11025,11025,11025,11025
"247","Bossier Parish Community College","Louisiana","LA","Public","2 Year",NA,4283,4283,8960,8960
"248","Boston Architectural College","Massachusetts","MA","Private","4 Year",13280,21894,35174,21894,35174
"249","Boston Baptist College","Massachusetts","MA","Private","4 Year",7810,12600,20410,12600,20410
"250","Boston College","Massachusetts","MA","Private","4 Year",14478,55464,69942,55464,69942
"251","Boston Conservatory at Berklee","Massachusetts","MA","Private","4 Year",18360,46020,64380,46020,64380
"252","Boston University","Massachusetts","MA","Private","4 Year",15720,53948,69668,53948,69668
"253","Bowdoin College","Maine","ME","Private","4 Year",14698,53922,68620,53922,68620
"254","Bowie State University","Maryland","MD","Public","4 Year",10904,8233,19137,18873,29777
"255","Bowling Green State University","Ohio","OH","Public","4 Year",9168,11105,20273,19093,28261
"256","Bowling Green State University: Firelands College","Ohio","OH","Public","2 Year",NA,4912,4912,12901,12901
"257","Bradley University","Illinois","IL","Private","4 Year",10620,33760,44380,33760,44380
"258","Brandeis University","Massachusetts","MA","Private","4 Year",15440,55395,70835,55395,70835
"259","Brandman University","California","CA","Private","4 Year",NA,15380,15380,15380,15380
"260","Brazosport College","Texas","TX","Public","2 Year",NA,2715,2715,5355,5355
"261","Brenau University","Georgia","GA","Private","4 Year",12418,29050,41468,29050,41468
"262","Brescia University","Kentucky","KY","Private","4 Year",9200,22400,31600,22400,31600
"263","Brevard College","North Carolina","NC","Private","4 Year",9900,29350,39250,29350,39250
"264","Brewton-Parker College","Georgia","GA","Private","4 Year",7850,18690,26540,18690,26540
"265","Briar Cliff University","Iowa","IA","Private","4 Year",9020,31964,40984,31964,40984
"266","BridgeValley Community and Technical College","West Virginia","WV","Public","2 Year",NA,5460,5460,13020,13020
"267","Bridgewater College","Virginia","VA","Private","4 Year",12720,35160,47880,35160,47880
"268","Bridgewater State University","Massachusetts","MA","Public","4 Year",13090,10367,23457,16507,29597
"269","Brigham Young University","Utah","UT","Private","4 Year",7628,5620,13248,5620,13248
"270","Brigham Young University-Hawaii","Hawaii","HI","Private","4 Year",6586,5560,12146,5560,12146
"271","Brigham Young University-Idaho","Idaho","ID","Private","4 Year",4592,4118,8710,4118,8710
"272","Bristol Community College","Massachusetts","MA","Public","2 Year",NA,5970,5970,12150,12150
"273","Brookdale Community College","New Jersey","NJ","Public","2 Year",NA,5216,5216,9281,9281
"274","Brookhaven College","Texas","TX","Public","2 Year",NA,1770,1770,5220,5220
"275","Broome Community College","New York","NY","Public","2 Year",11818,5482,17300,10210,22028
"276","Broward College","Florida","FL","Public","2 Year",NA,3540,3540,11190,11190
"277","Brown University","Rhode Island","RI","Private","4 Year",14670,55656,70326,55656,70326
"278","Brunswick Community College","North Carolina","NC","Public","2 Year",NA,2380,2380,8140,8140
"279","Bryan College of Health Sciences","Nebraska","NE","Private","4 Year",NA,18270,18270,18270,18270
"280","Bryan College: Dayton","Tennessee","TN","Private","4 Year",7500,26800,34300,26800,34300
"281","Bryan University: Rogers","Arkansas","AR","For Profit","2 Year",NA,10230,10230,10230,10230
"282","Bryant University","Rhode Island","RI","Private","4 Year",15702,43973,59675,43973,59675
"283","Bryn Athyn College","Pennsylvania","PA","Private","4 Year",11886,22815,34701,22815,34701
"284","Bryn Mawr College","Pennsylvania","PA","Private","4 Year",16500,52360,68860,52360,68860
"285","Bucknell University","Pennsylvania","PA","Private","4 Year",13662,56092,69754,56092,69754
"286","Bucks County Community College","Pennsylvania","PA","Public","2 Year",1500,5660,7160,14660,16160
"287","Buena Vista University","Iowa","IA","Private","4 Year",9538,34004,43542,34004,43542
"288","Bunker Hill Community College","Massachusetts","MA","Public","2 Year",NA,5580,5580,11760,11760
"289","Butler Community College","Kansas","KS","Public","2 Year",5950,3180,9130,5310,11260
"290","Butler County Community College","Pennsylvania","PA","Public","2 Year",NA,4950,4950,10950,10950
"291","Butler University","Indiana","IN","Private","4 Year",13830,41120,54950,41120,54950
"292","Butte College","California","CA","Public","2 Year",NA,1498,1498,8518,8518
"293","Cabarrus College of Health Sciences","North Carolina","NC","Private","4 Year",NA,13194,13194,13194,13194
"294","Cabrillo College","California","CA","Public","2 Year",NA,1500,1500,9300,9300
"295","Cabrini University","Pennsylvania","PA","Private","4 Year",12266,31920,44186,31920,44186
"296","Cairn University","Pennsylvania","PA","Private","4 Year",10294,27279,37573,27279,37573
"297","Caldwell Community College and Technical Institute","North Carolina","NC","Public","2 Year",NA,2356,2356,8116,8116
"298","Caldwell University","New Jersey","NJ","Private","4 Year",12025,34715,46740,34715,46740
"299","Calhoun Community College","Alabama","AL","Public","2 Year",NA,4840,4840,8690,8690
"300","California Baptist University","California","CA","Private","4 Year",12160,33478,45638,33478,45638
"301","California Christian College","California","CA","Private","4 Year",4950,9570,14520,9570,14520
"302","California Coast University","California","CA","For Profit","4 Year",NA,4500,4500,4500,4500
"303","California College of the Arts","California","CA","Private","4 Year",10136,49138,59274,49138,59274
"304","California Institute of Integral Studies","California","CA","Private","4 Year",NA,20230,20230,20230,20230
"305","California Institute of Technology","California","CA","Private","4 Year",15525,52362,67887,52362,67887
"306","California Institute of the Arts","California","CA","Private","4 Year",12069,49276,61345,49276,61345
"307","California Lutheran University","California","CA","Private","4 Year",13779,42693,56472,42693,56472
"308","California Maritime Academy","California","CA","Public","4 Year",12576,7135,19711,13273,25849
"309","California Miramar University","California","CA","Private","4 Year",NA,12180,12180,12180,12180
"310","California Northstate University College of Health Sciences","California","CA","Private","4 Year",NA,32500,32500,32500,32500
"311","California Polytechnic State University: San Luis Obispo","California","CA","Public","4 Year",13796,9816,23612,21696,35492
"312","California State Polytechnic University: Pomona","California","CA","Public","4 Year",17358,7353,24711,19233,36591
"313","California State University: Bakersfield","California","CA","Public","4 Year",13746,7147,20893,19027,32773
"314","California State University: Channel Islands","California","CA","Public","4 Year",16954,6817,23771,18697,35651
"315","California State University: Chico","California","CA","Public","4 Year",12980,7618,20598,17122,30102
"316","California State University: Dominguez Hills","California","CA","Public","4 Year",12540,6837,19377,18717,31257
"317","California State University: East Bay","California","CA","Public","4 Year",13980,6834,20814,18714,32694
"318","California State University: Fresno","California","CA","Public","4 Year",10587,6585,17172,18465,29052
"319","California State University: Fullerton","California","CA","Public","4 Year",15898,6870,22768,18750,34648
"320","California State University: Long Beach","California","CA","Public","4 Year",13312,6798,20110,18678,31990
"321","California State University: Los Angeles","California","CA","Public","4 Year",13407,6639,20046,18519,31926
"322","California State University: Monterey Bay","California","CA","Public","4 Year",12234,7143,19377,19023,31257
"323","California State University: Northridge","California","CA","Public","4 Year",11122,6888,18010,17622,28744
"324","California State University: Sacramento","California","CA","Public","4 Year",14396,7204,21600,19084,33480
