"","type","year","tuition_type","tuition_cost"
"119","Public","1985-86","4 Year Current",3859
"120","Public","1985-86","2 Year Current",2981
"121","Public","1995-96","All Constant",9825
"122","Public","1995-96","4 Year Constant",11016
"123","Public","1995-96","2 Year Constant",6623
"124","Public","1995-96","All Current",6256
"125","Public","1995-96","4 Year Current",7014
"126","Public","1995-96","2 Year Current",4217
"127","Public","2000-01","All Constant",10514
"128","Public","2000-01","4 Year Constant",11993
"129","Public","2000-01","2 Year Constant",6706
"130","Public","2000-01","All Current",7586
"131","Public","2000-01","4 Year Current",8653
"132","Public","2000-01","2 Year Current",4839
"133","Public","2001-02","All Constant",10924
"134","Public","2001-02","4 Year Constant",12523
"135","Public","2001-02","2 Year Constant",6996
"136","Public","2001-02","All Current",8022
"137","Public","2001-02","4 Year Current",9196
"138","Public","2001-02","2 Year Current",5137
"139","Public","2002-03","All Constant",11328
"140","Public","2002-03","4 Year Constant",13042
"141","Public","2002-03","2 Year Constant",7464
"142","Public","2002-03","All Current",8502
"143","Public","2002-03","4 Year Current",9787
"144","Public","2002-03","2 Year Current",5601
"145","Public","2003-04","All Constant",12057
"146","Public","2003-04","4 Year Constant",13919
"147","Public","2003-04","2 Year Constant",7840
"148","Public","2003-04","All Current",9247
"149","Public","2003-04","4 Year Current",10674
"150","Public","2003-04","2 Year Current",6012
"151","Public","2004-05","All Constant",12487
"152","Public","2004-05","4 Year Constant",14463
"153","Public","2004-05","2 Year Constant",8070
"154","Public","2004-05","All Current",9864
"155","Public","2004-05","4 Year Current",11426
"156","Public","2004-05","2 Year Current",6375
"157","Public","2005-06","All Constant",12748
"158","Public","2005-06","4 Year Constant",14765
"159","Public","2005-06","2 Year Constant",7916
"160","Public","2005-06","All Current",10454
"161","Public","2005-06","4 Year Current",12108
"162","Public","2005-06","2 Year Current",6492
"163","Public","2012-13","All Constant",15755
"164","Public","2012-13","4 Year Constant",18328
"165","Public","2012-13","2 Year Constant",9363
"166","Public","2012-13","All Current",15021
"167","Public","2012-13","4 Year Current",17475
"168","Public","2012-13","2 Year Current",8927
"169","Public","2013-14","All Constant",16140
"170","Public","2013-14","4 Year Constant",18692
"171","Public","2013-14","2 Year Constant",9587
"172","Public","2013-14","All Current",15628
"173","Public","2013-14","4 Year Current",18100
"174","Public","2013-14","2 Year Current",9283
"175","Public","2014-15","All Constant",16597
"176","Public","2014-15","4 Year Constant",19102
"177","Public","2014-15","2 Year Constant",9828
"178","Public","2014-15","All Current",16188
"179","Public","2014-15","4 Year Current",18632
"180","Public","2014-15","2 Year Current",9585
"181","Public","2015-16","All Constant",17075
"182","Public","2015-16","4 Year Constant",19558
"183","Public","2015-16","2 Year Constant",10097
"184","Public","2015-16","All Current",16766
"185","Public","2015-16","4 Year Current",19204
"186","Public","2015-16","2 Year Current",9914
"187","Public","2016-17","All Constant",17237
"188","Public","2016-17","4 Year Constant",19488
"189","Public","2016-17","2 Year Constant",10091
"190","Public","2016-17","All Current",17237
"191","Public","2016-17","4 Year Current",19488
"192","Public","2016-17","2 Year Current",10091
"193","Private","1985-86","All Constant",19812
"194","Private","1985-86","4 Year Constant",20578
"195","Private","1985-86","2 Year Constant",14521
"196","Private","1985-86","All Current",8885
"197","Private","1985-86","4 Year Current",9228
